order_id    order_date customer_id customer_name                                                                                                                                          product_name                                                                                                                                                                                             category                                                                                             quantity    unit_price                              revenue
----------- ---------- ----------- ------------------------------------------------------------------------------------------------------------------------------------------------------ -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------- ----------- --------------------------------------- ---------------------------------------
1           2024-01-20 1           Jan Kowalski                                                                                                                                           iPhone 15 Pro                                                                                                                                                                                            Electronics                                                                                          1           4999.99                                 4999.99
1           2024-01-20 1           Jan Kowalski                                                                                                                                           iPhone 14                                                                                                                                                                                                Electronics                                                                                          1           3499.99                                 3499.99
2           2024-02-15 2           Anna Nowak                                                                                                                                             Samsung Galaxy S24                                                                                                                                                                                       Electronics                                                                                          1           3999.99                                 3999.99
2           2024-02-15 2           Anna Nowak                                                                                                                                             Mata do jogi premium                                                                                                                                                                                     Sports                                                                                               1           129.99                                  129.99
3           2024-03-05 3           Piotr Zieliński                                                                                                                                        Nike Air Max 270                                                                                                                                                                                         Clothing                                                                                             1           599.99                                  599.99
4           2024-03-22 4           Katarzyna Wiśniewska                                                                                                                                   Robot sprzątający Xiaomi                                                                                                                                                                                 Home & Garden                                                                                        1           899.99                                  899.99
4           2024-03-22 4           Katarzyna Wiśniewska                                                                                                                                   Zestaw doniczek ceramicznych                                                                                                                                                                             Home & Garden                                                                                        2           149.99                                  299.98
5           2024-04-10 5           Marek Lewandowski                                                                                                                                      Hantle regulowane 2x20kg                                                                                                                                                                                 Sports                                                                                               1           349.99                                  349.99
6           2024-04-18 6           Tomasz Jabłoński                                                                                                                                       Odkurzacz bezprzewodowy Dyson                                                                                                                                                                            Home & Garden                                                                                        1           2199.99                                 2199.99
7           2024-05-02 7           Ola Kamińska                                                                                                                                           Samsung QLED TV 55"                                                                                                                                                                                      Electronics                                                                                          1           2899.99                                 2899.99
8           2024-05-15 8           Krzysztof Nowakowski                                                                                                                                   MacBook Air M3                                                                                                                                                                                           Electronics                                                                                          1           5999.99                                 5999.99
9           2024-06-01 9           Magdalena Zając                                                                                                                                        Adidas Ultraboost Light                                                                                                                                                                                  Clothing                                                                                             1           699.99                                  699.99
10          2024-06-10 10          Paweł Michalski                                                                                                                                        Kurtka zimowa The North Face                                                                                                                                                                             Clothing                                                                                             1           899.99                                  899.99
11          2024-01-25 11          Natalia Kwiatkowska                                                                                                                                    Harry Potter - komplet 8 tomów                                                                                                                                                                           Books                                                                                                1           149.99                                  149.99
12          2024-02-28 12          Łukasz Wójcik                                                                                                                                          The Witcher - Blood Origin                                                                                                                                                                               Books                                                                                                1           89.99                                   89.99
13          2024-03-12 13          Aleksandra Dąbrowska                                                                                                                                   Grill elektryczny Weber                                                                                                                                                                                  Home & Garden                                                                                        1           1299.99                                 1299.99
14          2024-04-05 14          Bartosz Kaczmarek                                                                                                                                      Puma RS-X                                                                                                                                                                                                Clothing                                                                                             1           449.99                                  449.99
15          2024-05-20 15          Karolina Mazur                                                                                                                                         Samsung Galaxy A55                                                                                                                                                                                       Electronics                                                                                          1           1799.99                                 1799.99
16          2024-06-08 16          Michał Szymański                                                                                                                                       Dune - książka                                                                                                                                                                                           Books                                                                                                1           59.99                                   59.99
1           2024-01-20 1           Jan Kowalski                                                                                                                                           iPhone 15 Pro                                                                                                                                                                                            Electronics                                                                                          1           4999.99                                 4999.99
2           2024-02-15 2           Anna Nowak                                                                                                                                             Samsung Galaxy S24                                                                                                                                                                                       Electronics                                                                                          1           3999.99                                 3999.99
3           2024-03-05 3           Piotr Zieliński                                                                                                                                        Nike Air Max 270                                                                                                                                                                                         Clothing                                                                                             1           599.99                                  599.99
4           2024-03-22 4           Katarzyna Wiśniewska                                                                                                                                   Robot sprzątający Xiaomi                                                                                                                                                                                 Home & Garden                                                                                        1           899.99                                  899.99
5           2024-04-10 5           Marek Lewandowski                                                                                                                                      Hantle regulowane 2x20kg                                                                                                                                                                                 Sports                                                                                               1           349.99                                  349.99
6           2024-04-18 6           Tomasz Jabłoński                                                                                                                                       Odkurzacz bezprzewodowy Dyson                                                                                                                                                                            Home & Garden                                                                                        1           2199.99                                 2199.99
7           2024-05-02 7           Ola Kamińska                                                                                                                                           MacBook Air M3                                                                                                                                                                                           Electronics                                                                                          1           5999.99                                 5999.99
8           2024-05-15 8           Krzysztof Nowakowski                                                                                                                                   Samsung QLED TV 55"                                                                                                                                                                                      Electronics                                                                                          1           2899.99                                 2899.99
9           2024-06-01 9           Magdalena Zając                                                                                                                                        Adidas Ultraboost Light                                                                                                                                                                                  Clothing                                                                                             1           699.99                                  699.99
10          2024-06-10 10          Paweł Michalski                                                                                                                                        Kurtka zimowa The North Face                                                                                                                                                                             Clothing                                                                                             1           899.99                                  899.99
11          2024-01-25 11          Natalia Kwiatkowska                                                                                                                                    Harry Potter - komplet 8 tomów                                                                                                                                                                           Books                                                                                                1           149.99                                  149.99
12          2024-02-28 12          Łukasz Wójcik                                                                                                                                          The Witcher - Blood Origin                                                                                                                                                                               Books                                                                                                1           89.99                                   89.99
13          2024-03-12 13          Aleksandra Dąbrowska                                                                                                                                   Grill elektryczny Weber                                                                                                                                                                                  Home & Garden                                                                                        1           1299.99                                 1299.99
14          2024-04-05 14          Bartosz Kaczmarek                                                                                                                                      Puma RS-X                                                                                                                                                                                                Clothing                                                                                             1           449.99                                  449.99
15          2024-05-20 15          Karolina Mazur                                                                                                                                         Samsung Galaxy A55                                                                                                                                                                                       Electronics                                                                                          1           1799.99                                 1799.99
16          2024-06-08 16          Michał Szymański                                                                                                                                       Dune - książka                                                                                                                                                                                           Books                                                                                                1           59.99                                   59.99
17          2024-01-30 17          Julia Wojciechowska                                                                                                                                    Mata do jogi premium                                                                                                                                                                                     Sports                                                                                               2           129.99                                  259.98
18          2024-02-10 18          Adam Kowalczyk                                                                                                                                         Projekt Gutenberg - Biblia                                                                                                                                                                               Books                                                                                                1           199.99                                  199.99
19          2024-03-18 19          Zuzanna Jabłońska                                                                                                                                      Zestaw doniczek ceramicznych                                                                                                                                                                             Home & Garden                                                                                        3           149.99                                  449.97
20          2024-04-22 20          Rafał Nowicki                                                                                                                                          Rower stacjonarny                                                                                                                                                                                        Sports                                                                                               1           1499.99                                 1499.99
